"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:13:12";"2013-04-15 08:13:13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:13";"2013-04-15 08:13:15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:15";"2013-04-15 08:13:16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:16";"2013-04-15 08:13:18";85.1;0;85.1;85.1;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:18";"2013-04-15 08:13:19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:19";"2013-04-15 08:13:21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:21";"2013-04-15 08:13:22";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:22";"2013-04-15 08:13:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:24";"2013-04-15 08:13:25";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:25";"2013-04-15 08:13:27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:27";"2013-04-15 08:13:28";85;0;85;85;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:28";"2013-04-15 08:13:30";;;;;;;;;;;;;;;;;86;0;86;86;15.8;0;15.8;15.8;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:13:30";"2013-04-15 08:13:31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
